sensor_Preki_GP	2000
sensor_Preki_GS	2000
sensor_Preki_A	2000
sensor_Preki_GWA	2000
sensor_Preki_HmA	2000
sensor_Preki_A/90min	2000
sensor_Preki_Club	2001
sensor_Preki_GP	2001
sensor_Preki_GS	2001
sensor_Preki_A	2001
sensor_Preki_GWA	2001
sensor_Preki_HmA	2001
sensor_Preki_RdA	2001
sensor_Preki_A/90min	2001
sensor_Preki_Club	2002
sensor_Preki_GP	2002
sensor_Preki_A	2002
sensor_Preki_GWA	2002
sensor_Preki_HmA	2002
sensor_Preki_RdA	2002
sensor_Preki_A/90min	2002
sensor_Preki_GP	2003
sensor_Preki_GS	2003
sensor_Preki_A	2003
sensor_Preki_GWA	2003
sensor_Preki_HmA	2003
sensor_Preki_RdA	2003
sensor_Preki_A/90min	2003
sensor_Preki_GP	2004
sensor_Preki_GS	2004
sensor_Preki_A	2004
sensor_Preki_GWA	2004
sensor_Preki_HmA	2004
sensor_Preki_RdA	2004
sensor_Preki_A/90min	2004
sensor_Preki_GP	2005
sensor_Preki_GS	2005
sensor_Preki_A	2005
sensor_Preki_GWA	2005
sensor_Preki_HmA	2005
sensor_Preki_A/90min	2005
sensor_Robert-Warzycha_GP	1997
sensor_Robert-Warzycha_GS	1997
sensor_Robert-Warzycha_HmA	1997
sensor_Robert-Warzycha_RdA	1997
sensor_Robert-Warzycha_A/90min	1997
sensor_Robert-Warzycha_GP	1998
sensor_Robert-Warzycha_GS	1998
sensor_Robert-Warzycha_A	1998
sensor_Robert-Warzycha_GWA	1998
sensor_Robert-Warzycha_HmA	1998
sensor_Robert-Warzycha_RdA	1998
sensor_Robert-Warzycha_A/90min	1998
sensor_Robert-Warzycha_GP	1999
sensor_Robert-Warzycha_GS	1999
sensor_Robert-Warzycha_A	1999
sensor_Robert-Warzycha_GWA	1999
sensor_Robert-Warzycha_RdA	1999
sensor_Robert-Warzycha_A/90min	1999
sensor_Robert-Warzycha_GP	2000
sensor_Robert-Warzycha_GS	2000
sensor_Robert-Warzycha_A	2000
sensor_Robert-Warzycha_GWA	2000
sensor_Robert-Warzycha_HmA	2000
sensor_Robert-Warzycha_RdA	2000
sensor_Robert-Warzycha_A/90min	2000
sensor_Robert-Warzycha_GP	2001
sensor_Robert-Warzycha_GS	2001
sensor_Robert-Warzycha_A	2001
sensor_Robert-Warzycha_GWA	2001
sensor_Robert-Warzycha_HmA	2001
sensor_Robert-Warzycha_RdA	2001
sensor_Robert-Warzycha_A/90min	2001
sensor_Robert-Warzycha_GP	2002
sensor_Robert-Warzycha_GS	2002
sensor_Robert-Warzycha_GWA	2002
sensor_Robert-Warzycha_HmA	2002
sensor_Robert-Warzycha_RdA	2002
sensor_Robert-Warzycha_A/90min	2002
sensor_Mauricio-Cienfuegos_GP	1997
sensor_Mauricio-Cienfuegos_GS	1997
sensor_Mauricio-Cienfuegos_A	1997
sensor_Mauricio-Cienfuegos_GWA	1997
sensor_Mauricio-Cienfuegos_HmA	1997
sensor_Mauricio-Cienfuegos_RdA	1997
sensor_Mauricio-Cienfuegos_A/90min	1997
sensor_Mauricio-Cienfuegos_GP	1998
sensor_Mauricio-Cienfuegos_GS	1998
sensor_Mauricio-Cienfuegos_A	1998
sensor_Mauricio-Cienfuegos_GWA	1998
sensor_Mauricio-Cienfuegos_HmA	1998
sensor_Mauricio-Cienfuegos_RdA	1998
sensor_Mauricio-Cienfuegos_GS	1999
sensor_Mauricio-Cienfuegos_A	1999
sensor_Mauricio-Cienfuegos_GWA	1999
sensor_Mauricio-Cienfuegos_RdA	1999
sensor_Mauricio-Cienfuegos_A/90min	1999
sensor_Mauricio-Cienfuegos_GP	2000
sensor_Mauricio-Cienfuegos_GS	2000
sensor_Mauricio-Cienfuegos_A	2000
sensor_Mauricio-Cienfuegos_GWA	2000
sensor_Mauricio-Cienfuegos_HmA	2000
sensor_Mauricio-Cienfuegos_RdA	2000
sensor_Mauricio-Cienfuegos_A/90min	2000
sensor_Mauricio-Cienfuegos_GP	2001
sensor_Mauricio-Cienfuegos_GS	2001
sensor_Mauricio-Cienfuegos_GWA	2001
sensor_Mauricio-Cienfuegos_HmA	2001
sensor_Mauricio-Cienfuegos_RdA	2001
sensor_Mauricio-Cienfuegos_A/90min	2001
sensor_Mauricio-Cienfuegos_GP	2002
sensor_Mauricio-Cienfuegos_GS	2002
sensor_Mauricio-Cienfuegos_A	2002
sensor_Mauricio-Cienfuegos_GWA	2002
sensor_Mauricio-Cienfuegos_RdA	2002
sensor_Mauricio-Cienfuegos_A/90min	2002
sensor_Mauricio-Cienfuegos_GP	2003
sensor_Mauricio-Cienfuegos_GS	2003
sensor_Mauricio-Cienfuegos_A	2003
sensor_Mauricio-Cienfuegos_GWA	2003
sensor_Mauricio-Cienfuegos_HmA	2003
sensor_Mauricio-Cienfuegos_RdA	2003
sensor_Mauricio-Cienfuegos_A/90min	2003
sensor_Adrian-Paz_Club	1997
sensor_Adrian-Paz_GP	1997
sensor_Adrian-Paz_GS	1997
sensor_Adrian-Paz_A	1997
sensor_Adrian-Paz_GWA	1997
sensor_Adrian-Paz_RdA	1997
sensor_Adrian-Paz_A/90min	1997
sensor_Adrian-Paz_GP	1998
sensor_Adrian-Paz_GS	1998
sensor_Adrian-Paz_A	1998
sensor_Adrian-Paz_GWA	1998
sensor_Adrian-Paz_HmA	1998
sensor_Adrian-Paz_RdA	1998
sensor_Adrian-Paz_A/90min	1998
sensor_Tab-Ramos_GP	1997
sensor_Tab-Ramos_GS	1997
sensor_Tab-Ramos_A	1997
sensor_Tab-Ramos_GWA	1997
sensor_Tab-Ramos_HmA	1997
sensor_Tab-Ramos_RdA	1997
sensor_Tab-Ramos_A/90min	1997
sensor_Tab-Ramos_GP	1998
sensor_Tab-Ramos_GS	1998
sensor_Tab-Ramos_A	1998
sensor_Tab-Ramos_GWA	1998
sensor_Tab-Ramos_RdA	1998
sensor_Tab-Ramos_A/90min	1998
sensor_Tab-Ramos_GP	1999
sensor_Tab-Ramos_GS	1999
sensor_Tab-Ramos_A	1999
sensor_Tab-Ramos_HmA	1999
sensor_Tab-Ramos_RdA	1999
sensor_Tab-Ramos_A/90min	1999
sensor_Tab-Ramos_GP	2000
sensor_Tab-Ramos_GS	2000
sensor_Tab-Ramos_A	2000
