ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Marcelo Carrera,CLB,F,30,12,2,0,2,0,0.13,1996
John Kerr,DAL,F,19,16,2,2,2,0,0.13,1996
Goran Hunjak,TB,M,21,15,2,0,2,0,0.13,1996
Marcelo Balboa,COL,D,18,16,2,1,2,0,0.12,1996
Kevin Wylie,NE,F,22,22,2,0,1,1,0.1,1996
Paul Caligiuri,CLB,D,22,21,2,0,0,2,0.1,1996
Doctor Khumalo,CLB,M,25,23,2,1,1,1,0.09,1996
Raul Diaz Arce,DC,F,28,28,2,0,0,2,0.08,1996
Mark Semioli,LA,D,28,27,2,0,1,1,0.07,1996
Michael Emenalo,SJ,D,29,28,2,2,1,1,0.07,1996
Mark Santel,DAL,M,30,28,2,0,2,0,0.07,1996
Steve Ralston,TB,M,31,31,2,0,1,1,0.07,1996
Steve Trittschuh,COL,D,32,32,2,1,2,0,0.06,1996
Obi Monome,CLB,M,1,0,1,0,0,1,3.46,1996
Andrew Shue,LA,F,5,0,1,0,0,1,0.94,1996
Todd Miller,CLB,M,3,2,1,1,1,0,0.57,1996
Petter Villegas,MET,M,3,2,1,1,0,1,0.55,1996
Nidal Baba,MET,M,3,1,1,1,0,1,0.47,1996
Ian Hennessey,MET,M,8,4,1,0,0,1,0.29,1996
Raimo De Vries,COL,F,4,4,1,0,1,0,0.25,1996
Henry Gutierrez,SJ,M,7,4,1,0,1,0,0.25,1996
Ramiro Corrales,SJ,M,11,5,1,0,0,1,0.2,1996
Brian Kamler,DC,M,12,3,1,1,1,0,0.19,1996
Edmundo Rodriguez,MET,M,11,5,1,0,0,1,0.19,1996
Robert Ukrop,NE,F,9,8,1,0,0,1,0.14,1996
Curt Onalfo,LA,D,13,7,1,0,1,0,0.13,1996
Adam Frye,TB,D,15,9,1,0,1,0,0.12,1996
Kevin Koetters,KC,M,15,6,1,0,0,1,0.12,1996
Rob Smith,CLB,M,9,9,1,0,1,0,0.12,1996
Damian Silvera,MET,M,15,8,1,1,1,0,0.11,1996
Matt McKeon,KC,D,12,9,1,0,1,0,0.11,1996
Chris Unger,MET,M,16,12,1,0,0,1,0.09,1996
David Vaudreuil,DC,D,14,13,1,0,1,0,0.08,1996
Shawn Medved,DC,M,27,13,1,0,1,0,0.08,1996
Joe-Max Moore,NE,F,14,14,1,0,1,0,0.07,1996
Mike Burns,NE,M,17,14,1,0,1,0,0.07,1996
Manny Motajo,LA,D,20,16,1,1,1,0,0.06,1996
Eddie Pope,DC,D,18,18,1,1,0,1,0.06,1996
Giovanni Savarese,MET,F,26,15,1,0,1,0,0.06,1996
Scott Cannon,COL,D,21,16,1,1,1,0,0.06,1996
Samuel Ekeme,KC,D,23,19,1,0,1,0,0.05,1996
Chris Armas,LA,M,22,20,1,0,1,0,0.05,1996
Jorge Salcedo,LA,M,29,22,1,1,1,0,0.04,1996
Iain Fraser,NE,D,23,23,1,0,0,1,0.04,1996
Scott Uderitz,KC,D,28,24,1,0,1,0,0.04,1996
Jeff Baicher,SJ,M,30,28,1,1,1,0,0.04,1996
Alexi Lalas,NE,D,25,25,1,0,0,1,0.04,1996
Greg Vanney,LA,D,29,24,1,0,1,0,0.04,1996
Mike Clark,CLB,D,27,27,1,1,1,0,0.04,1996
Dan Calichman,LA,D,28,28,1,0,0,1,0.04,1996
Rhett Harty,MET,D,31,31,1,0,1,0,0.03,1996
Lawrence Lozzano,DAL,M,31,31,1,0,1,0,0.03,1996
Peter Vermes,MET,D,30,30,1,1,0,1,0.03,1996
Denis Hamlett,COL,D,31,31,1,0,1,0,0.03,1996
Rivers Guthrie,TB,M,0,0,0,0,0,0,0,1996
Ricci Greenwood,CLB,M,1,0,0,0,0,0,0,1996
Stan Lembryk,MET,M,1,0,0,0,0,0,0,1996
Omid Namazi,MET,M,1,0,0,0,0,0,0,1996
Bojan Vuckovic,NE,F,1,0,0,0,0,0,0,1996
Brent Longenecker,MET,M,2,0,0,0,0,0,0,1996
Martin Munnelly,MET,M,1,0,0,0,0,0,0,1996
Travis Rinker,MET,M,3,0,0,0,0,0,0,1996
Mirsad Huseinovic,MET,M,1,1,0,0,0,0,0,1996
Yari Allnutt,KC,F,1,0,0,0,0,0,0,1996
Ed Pinon,COL,M,1,0,0,0,0,0,0,1996
Patrick Tardieu,NE,F,5,0,0,0,0,0,0,1996
Ryshiem Henderson,SJ,F,3,0,0,0,0,0,0,1996
Ben Crawley,DC,F,5,0,0,0,0,0,0,1996
Danny Barber,MET,M,1,1,0,0,0,0,0,1996
Ken Hesse,MET,F,1,1,0,0,0,0,0,1996
Louis Ken-Kwofie,MET,M,1,1,0,0,0,0,0,1996
Jesse Marsch,DC,M,4,0,0,0,0,0,0,1996
Greg Lalas,TB,D,3,1,0,0,0,0,0,1996
Rene Ortiz,DAL,D,2,1,0,0,0,0,0,1996
