player_John-Doyle_GP	1998
player_John-Doyle_GS	1998
player_John-Doyle_A	1998
player_John-Doyle_HmA	1998
player_John-Doyle_RdA	1998
player_John-Doyle_A.90min	1998
player_John-Doyle_GP	1999
player_John-Doyle_GS	1999
player_John-Doyle_A	1999
player_John-Doyle_HmA	1999
player_John-Doyle_A.90min	1999
player_John-Doyle_GP	2000
player_John-Doyle_GS	2000
player_John-Doyle_A	2000
player_John-Doyle_HmA	2000
player_John-Doyle_RdA	2000
player_John-Doyle_A.90min	2000
player_Troy-Dayak_GP	1997
player_Troy-Dayak_GS	1997
player_Troy-Dayak_A	1997
player_Troy-Dayak_GWA	1997
player_Troy-Dayak_HmA	1997
player_Troy-Dayak_A.90min	1997
player_Marcelo-Balboa_GP	1997
player_Marcelo-Balboa_GS	1997
player_Marcelo-Balboa_A	1997
player_Marcelo-Balboa_GWA	1997
player_Marcelo-Balboa_HmA	1997
player_Marcelo-Balboa_A.90min	1997
player_Marcelo-Balboa_GP	1998
player_Marcelo-Balboa_GS	1998
player_Marcelo-Balboa_A	1998
player_Marcelo-Balboa_GWA	1998
player_Marcelo-Balboa_HmA	1998
player_Marcelo-Balboa_RdA	1998
player_Marcelo-Balboa_A.90min	1998
player_Marcelo-Balboa_GP	1999
player_Marcelo-Balboa_GS	1999
player_Marcelo-Balboa_A	1999
player_Marcelo-Balboa_HmA	1999
player_Marcelo-Balboa_RdA	1999
player_Marcelo-Balboa_A.90min	1999
player_Marcelo-Balboa_GP	2000
player_Marcelo-Balboa_GS	2000
player_Marcelo-Balboa_A	2000
player_Marcelo-Balboa_HmA	2000
player_Marcelo-Balboa_RdA	2000
player_Marcelo-Balboa_A.90min	2000
player_Marcelo-Balboa_GP	2001
player_Marcelo-Balboa_GS	2001
player_Marcelo-Balboa_A	2001
player_Marcelo-Balboa_GWA	2001
player_Marcelo-Balboa_HmA	2001
player_Marcelo-Balboa_RdA	2001
player_Marcelo-Balboa_A.90min	2001
player_Michael-Emenalo_GP	1997
