player_John-Doyle_Club	player_John-Doyle	player_Club
player_John-Doyle_POS	player_John-Doyle	player_POS
player_John-Doyle_GP	player_John-Doyle	player_GP
player_John-Doyle_GS	player_John-Doyle	player_GS
player_John-Doyle_A	player_John-Doyle	player_A
player_John-Doyle_GWA	player_John-Doyle	player_GWA
player_John-Doyle_HmA	player_John-Doyle	player_HmA
player_John-Doyle_RdA	player_John-Doyle	player_RdA
player_John-Doyle_A.90min	player_John-Doyle	player_A.90min
player_Troy-Dayak_Club	player_Troy-Dayak	player_Club
player_Troy-Dayak_POS	player_Troy-Dayak	player_POS
player_Troy-Dayak_GP	player_Troy-Dayak	player_GP
player_Troy-Dayak_GS	player_Troy-Dayak	player_GS
player_Troy-Dayak_A	player_Troy-Dayak	player_A
player_Troy-Dayak_GWA	player_Troy-Dayak	player_GWA
player_Troy-Dayak_HmA	player_Troy-Dayak	player_HmA
player_Troy-Dayak_RdA	player_Troy-Dayak	player_RdA
player_Troy-Dayak_A.90min	player_Troy-Dayak	player_A.90min
player_Arash-Noamouz_Club	player_Arash-Noamouz	player_Club
player_Arash-Noamouz_POS	player_Arash-Noamouz	player_POS
player_Arash-Noamouz_GP	player_Arash-Noamouz	player_GP
player_Arash-Noamouz_GS	player_Arash-Noamouz	player_GS
player_Arash-Noamouz_A	player_Arash-Noamouz	player_A
player_Arash-Noamouz_GWA	player_Arash-Noamouz	player_GWA
player_Arash-Noamouz_HmA	player_Arash-Noamouz	player_HmA
player_Arash-Noamouz_RdA	player_Arash-Noamouz	player_RdA
player_Arash-Noamouz_A.90min	player_Arash-Noamouz	player_A.90min
player_Jose-Vasquez_Club	player_Jose-Vasquez	player_Club
player_Jose-Vasquez_POS	player_Jose-Vasquez	player_POS
player_Jose-Vasquez_GP	player_Jose-Vasquez	player_GP
player_Jose-Vasquez_GS	player_Jose-Vasquez	player_GS
player_Jose-Vasquez_A	player_Jose-Vasquez	player_A
player_Jose-Vasquez_GWA	player_Jose-Vasquez	player_GWA
player_Jose-Vasquez_HmA	player_Jose-Vasquez	player_HmA
player_Jose-Vasquez_RdA	player_Jose-Vasquez	player_RdA
player_Jose-Vasquez_A.90min	player_Jose-Vasquez	player_A.90min
